Model ;Fitness(averageFitness);Precision;Entropy based Fitness;Precision ;;
composed_IP-1_init_log;1.0;0.7136872983756287;0.9973644572896961;0.6530472832124887;;
composed_IP-2_init_log;1.0;0.3408458033692625;;;;
composed_IP-3_init_log;1.0;0.7191426589514167;0.9652559085684305;0.705432350230126;;
composed_IP-4_init_log;1.0;0.7014368857781372;1.0778096189578579;0.7162848928314636;;
composed_IP-5_init_log;1.0;0.4980626274345662;1.0778096189578579;0.7162848928314636;;
composed_IP-6_init_log;1.0;0.4980626274345662;0.9853624204640351;0.4644260098604516;;
composed_IP-7_init_log;1.0;0.594482490964513;1.0024400123599648; 0.7080697592727602;;
composed_IP-8_init_log;0.9825799261083721;0.658451077357824;;;;
composed_IP-9_init_log;0.9777777777777926;0.571526547408127;;;;
composed_IP-10_init_log;0.9746856410256478;0.7082179132040628;0.9980874802152503;0.6472043862399952;;
composed_IP-11_init_log;1.0;0.43259732431066;;;;
composed_IP-12_init_log;1.0;0.7165430492301019;1.0032036058768277;0.7067331120158307;;
composed_art1_collectivelog;1.0;0.7526939655172413;1.0034959711049487;0.8190272144506503;;
composed_art2_collectivelog;1.0;0.5801033591731266;1.0087255229796257;0.6065199956311697;;
composed_art3_collectivelog;1.0;0.3993702770780856;0.9904023357512846;0.40994209674411325;;
composed_art4_collectivelog;1.0;0.7030598052851182;0.9999999999999996;0.8080805346548512;;
composed_art5_collectivelog;0.9708333333333328;0.314280140460398;0.9491738363879697;0.327361073022984;;
composed_real1_collectivelog;1.0;0.5384615384615384;1.0;0.6411970187863605;;
composed_real2_collectivelog;1.0;0.31465517241379315;1.0015000820255358;0.3951329769440731;;
composed_real3_collectivelog;0.7697984495089721;0.3461389961389961;;;;
composed_real4_collectivelog;1.0;0.4219828311732031;0.9553929604701038;0.4197605525536406;;
composed_real5_collectivelog;0.7561505376344089;0.3832948167712116;0.9064585161123658;0.39782508912497205;;
composed_healthcare_collectivelog;0.9230769230769218;0.30847673677501597;0.9565592403737577;0.3829819012786072;;
composed_TASE_EM_log;1.0;0.3082658765345897;;;;
composed_TASE_ID_log;1.0;;;;;
composed_TASE_FP_log;1.0;;;;;
composed_TASE_SD_log;1.0;0.5034451002124454;;;;
